,All ages,,,,,,,Under 5 years,,,,,,,,5 to 17 years,,,,,,,,18 to 24 years,,,,,,,,25 to 34 years,,,,,,,,35 to 44 years,,,,,,,,45 to 64 years,,,,,,,,65 to 84 years,,,,,,,,85 to 99 years,,,,,,,,100 years and over,,,,,,,
State,Population,,"Change, 2010 to 2020",,Female,,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index,Population,,"Change, 2010 to 2020",,Female,,Percent of total population,Racial and ethnic diversity index
,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,,"April 1, 2020","April 1, 2010",Number,Percent,Number,Percent,,
Maine,"1,362,359","1,328,361","33,998",2.6,"694,799",51.0,18.5,"61,477","69,520","-8,043",-11.6,"30,240",49.2,4.5,30.5,"190,797","205,013","-14,216",-6.9,"92,725",48.6,14.0,29.1,"108,233","116,072","-7,839",-6.8,"53,033",49.0,7.9,26.5,"159,897","144,624","15,273",10.6,"79,722",49.9,11.7,22.2,"158,786","171,376","-12,590",-7.3,"80,124",50.5,11.7,20.8,"386,140","410,676","-24,536",-6.0,"198,198",51.3,28.3,14.0,"263,740","181,944","81,796",45.0,"139,598",52.9,19.4,7.9,"32,902","28,838","4,064",14.1,"20,863",63.4,2.42,5.3,387,298,89,29.9,296,76.5,0.03,18.9
Maryland,"6,177,224","5,773,552","403,672",7.0,"3,201,808",51.8,67.3,"345,047","364,488","-19,441",-5.3,"168,819",48.9,5.6,73.4,"1,016,975","988,476","28,499",2.9,"497,527",48.9,16.5,72.7,"558,037","557,360",677,0.1,"276,173",49.5,9.0,71.0,"840,975","762,042","78,933",10.4,"429,141",51.0,13.6,69.6,"805,867","795,572","10,295",1.3,"418,501",51.9,13.0,69.8,"1,624,008","1,597,972","26,036",1.6,"854,077",52.6,26.3,63.3,"874,063","609,516","264,547",43.4,"484,577",55.4,14.1,53.7,"110,710","97,215","13,495",13.9,"71,784",64.8,1.79,45.4,"1,542",911,631,69.3,"1,209",78.4,0.02,51.9
Massachusetts,"7,029,917","6,547,629","482,288",7.4,"3,628,215",51.6,51.6,"340,020","367,087","-27,067",-7.4,"166,191",48.9,4.8,65.1,"1,026,174","1,051,836","-25,662",-2.4,"500,974",48.8,14.6,62.9,"709,974","677,888","32,086",4.7,"356,797",50.3,10.1,59.7,"999,707","845,141","154,566",18.3,"506,304",50.6,14.2,58.3,"861,118","887,149","-26,031",-2.9,"442,431",51.4,12.2,57.6,"1,861,136","1,815,804","45,332",2.5,"965,229",51.9,26.5,43.5,"1,074,497","757,525","316,972",41.8,"587,477",54.7,15.3,29.5,"155,054","143,679","11,375",7.9,"101,014",65.1,2.21,22.5,"2,237","1,520",717,47.2,"1,798",80.4,0.03,28.3
Michigan,"10,077,331","9,883,640","193,691",2.0,"5,106,475",50.7,45.2,"548,875","596,286","-47,411",-8.0,"269,090",49.0,5.4,57.6,"1,613,854","1,747,782","-133,928",-7.7,"786,833",48.8,16.0,55.6,"950,965","973,889","-22,924",-2.4,"467,274",49.1,9.4,51.9,"1,304,661","1,164,149","140,512",12.1,"643,592",49.3,12.9,50.5,"1,183,758","1,277,974","-94,216",-7.4,"592,594",50.1,11.7,46.9,"2,669,438","2,762,030","-92,592",-3.4,"1,355,619",50.8,26.5,39.2,"1,598,263","1,169,649","428,614",36.6,"858,101",53.7,15.9,29.0,"205,124","190,152","14,972",7.9,"131,448",64.1,2.04,24.0,"2,393","1,729",664,38.4,"1,924",80.4,0.02,33.8
Minnesota,"5,706,494","5,303,925","402,569",7.6,"2,871,046",50.3,40.5,"340,357","355,504","-15,147",-4.3,"166,362",48.9,6.0,57.7,"977,104","928,559","48,545",5.2,"477,272",48.8,17.1,55.2,"505,776","502,799","2,977",0.6,"249,685",49.4,8.9,50.9,"756,149","715,586","40,563",5.7,"374,670",49.5,13.3,47.2,"742,823","681,094","61,729",9.1,"367,667",49.5,13.0,43.0,"1,434,992","1,437,262","-2,270",-0.2,"720,747",50.2,25.1,29.7,"832,635","576,457","256,178",44.4,"440,607",52.9,14.6,16.0,"115,115","105,453","9,662",9.2,"72,784",63.2,2.02,10.3,"1,543","1,211",332,27.4,"1,252",81.1,0.03,17.8
Mississippi,"2,961,279","2,967,297","-6,018",-0.2,"1,531,426",51.7,55.9,"171,647","210,956","-39,309",-18.6,"84,669",49.3,5.8,60.9,"512,033","544,599","-32,566",-6.0,"250,983",49.0,17.3,60.2,"289,827","304,834","-15,007",-4.9,"144,701",49.9,9.8,58.4,"359,073","387,253","-28,180",-7.3,"184,947",51.5,12.1,58.1,"363,012","374,947","-11,935",-3.2,"187,883",51.8,12.3,57.3,"756,126","764,301","-8,175",-1.1,"393,391",52.0,25.5,53.1,"457,707","336,048","121,659",36.2,"250,334",54.7,15.5,45.7,"51,190","43,817","7,373",16.8,"33,991",66.4,1.73,39.7,664,542,122,22.5,527,79.4,0.02,56.3
Missouri,"6,154,913","5,988,927","165,986",2.8,"3,130,799",50.9,40.8,"355,024","390,237","-35,213",-9.0,"173,242",48.8,5.8,51.2,"1,024,277","1,035,199","-10,922",-1.1,"499,187",48.7,16.6,50.3,"580,345","589,264","-8,919",-1.5,"285,820",49.3,9.4,47.8,"802,104","775,467","26,637",3.4,"400,236",49.9,13.0,45.3,"756,821","748,616","8,205",1.1,"380,216",50.2,12.3,41.9,"1,558,585","1,611,850","-53,265",-3.3,"795,674",51.1,25.3,35.6,"954,297","724,515","229,782",31.7,"516,862",54.2,15.5,25.4,"121,961","112,613","9,348",8.3,"78,353",64.2,1.98,20.4,"1,499","1,166",333,28.6,"1,209",80.7,0.02,30.0
Montana,"1,084,225","989,415","94,810",9.6,"539,987",49.8,30.1,"59,224","62,423","-3,199",-5.1,"28,870",48.7,5.5,43.8,"174,878","161,140","13,738",8.5,"85,270",48.8,16.1,42.6,"94,073","94,611",-538,-0.6,"45,659",48.5,8.7,39.2,"136,979","122,864","14,115",11.5,"66,704",48.7,12.6,34.2,"133,111","112,945","20,166",17.9,"65,310",49.1,12.3,30.2,"270,677","288,690","-18,013",-6.2,"136,533",50.4,25.0,24.0,"193,400","126,721","66,679",52.6,"98,297",50.8,17.8,14.8,"21,620","19,846","1,774",8.9,"13,131",60.7,1.99,10.4,263,175,88,50.3,213,81.0,0.02,27.0
Nebraska,"1,961,504","1,826,341","135,163",7.4,"984,762",50.2,40.8,"126,605","131,908","-5,303",-4.0,"61,946",48.9,6.5,54.9,"358,772","327,313","31,459",9.6,"174,614",48.7,18.3,53.0,"186,219","182,527","3,692",2.0,"91,335",49.0,9.5,50.4,"257,682","245,176","12,506",5.1,"127,019",49.3,13.1,46.5,"248,243","220,838","27,405",12.4,"122,634",49.4,12.7,42.0,"462,636","471,902","-9,266",-2.0,"231,804",50.1,23.6,31.7,"280,745","207,369","73,376",35.4,"149,370",53.2,14.3,17.3,"40,110","38,807","1,303",3.4,"25,653",64.0,2.04,11.3,492,501,-9,-1.8,387,78.7,0.03,16.5
Nevada,"3,104,614","2,700,551","404,063",15.0,"1,550,880",50.0,68.8,"174,032","187,478","-13,446",-7.2,"84,795",48.7,5.6,71.7,"517,256","477,530","39,726",8.3,"251,680",48.7,16.7,70.9,"269,437","248,829","20,608",8.3,"131,251",48.7,8.7,71.0,"436,134","387,286","48,848",12.6,"215,281",49.4,14.0,71.4,"413,594","383,043","30,551",8.0,"205,294",49.6,13.3,70.1,"785,701","692,026","93,675",13.5,"394,320",50.2,25.3,65.1,"465,757","294,172","171,585",58.3,"242,922",52.2,15.0,50.8,"42,254","29,984","12,270",40.9,"25,015",59.2,1.36,44.8,449,203,246,121.2,322,71.7,0.01,53.4
